True	Predicted
1.5038808584213257	1.5085464715957642
1.369027018547058	1.3667651414871216
1.6888245344161987	1.4916887283325195
1.3670573234558105	1.5848652124404907
1.2196764945983887	1.5937572717666626
1.846062421798706	1.872602939605713
1.2898646593093872	1.5696661472320557
1.737343192100525	1.7326711416244507
1.823525309562683	1.8064005374908447
1.6735284328460693	1.6208200454711914
1.8373141288757324	1.7313661575317383
1.3421965837478638	1.3529865741729736
1.6655820608139038	1.6669716835021973
1.5089877843856812	1.4955488443374634
1.619873285293579	1.6158852577209473
1.362492322921753	1.6005609035491943
1.822108507156372	1.572994351387024
1.4710617065429688	1.5839409828186035
1.7110027074813843	1.4509201049804688
1.5352593660354614	1.5659854412078857
1.2847929000854492	1.5050493478775024
1.6856685876846313	1.6077269315719604
1.8464851379394531	1.6145488023757935
1.7343575954437256	1.7199870347976685
1.6223419904708862	1.6381422281265259
1.45673406124115	1.514332890510559
1.4708898067474365	1.5023201704025269
1.5263004302978516	1.5454410314559937
1.841480016708374	1.614180564880371
1.5459480285644531	1.4714208841323853
1.5794172286987305	1.5913364887237549
1.7724875211715698	1.7858864068984985
1.4639543294906616	1.496638298034668
1.717010259628296	1.600951910018921
1.7712739706039429	1.7940154075622559
1.788719654083252	1.599779725074768
1.2988475561141968	1.508657693862915
1.3717478513717651	1.5823818445205688
1.6594088077545166	1.6499559879302979
1.423803687095642	1.4828276634216309
1.3047173023223877	1.4311578273773193
1.866466760635376	1.7756295204162598
1.763889193534851	1.7737985849380493
1.8485808372497559	1.8189888000488281
1.8343034982681274	1.607272982597351
1.54971182346344	1.5514965057373047
1.4064432382583618	1.642340064048767
1.4833097457885742	1.456295132637024
1.3286117315292358	1.4934475421905518
1.3802448511123657	1.65873122215271
1.7668280601501465	1.5679931640625
1.458457589149475	1.521901249885559
1.4209891557693481	1.6043248176574707
1.3730058670043945	1.60262131690979
1.5962058305740356	1.5068621635437012
1.839241623878479	1.7524741888046265
1.45205819606781	1.4643971920013428
1.5075608491897583	1.5022058486938477
1.7367478609085083	1.7193450927734375
1.7539879083633423	1.6435422897338867
1.5637457370758057	1.4302399158477783
1.8067619800567627	1.6536970138549805
1.4134044647216797	1.4812194108963013
1.3412739038467407	1.5950485467910767
1.3088847398757935	1.5155102014541626
1.4343953132629395	1.4374079704284668
1.5000256299972534	1.5952602624893188
1.442899465560913	1.3734108209609985
1.5112661123275757	1.5424357652664185
1.5961101055145264	1.6221015453338623
1.8072293996810913	1.7917768955230713
1.5728658437728882	1.6004455089569092
1.532038927078247	1.5842487812042236
1.5841721296310425	1.6173083782196045
1.863424301147461	1.822280764579773
1.6233606338500977	1.607740879058838
1.5412888526916504	1.6058183908462524
1.7596213817596436	1.7121024131774902
1.6180304288864136	1.6375246047973633
1.6564841270446777	1.6700615882873535
1.7434817552566528	1.6666259765625
1.6943480968475342	1.517748236656189
1.5772676467895508	1.581965684890747
1.5529258251190186	1.5804710388183594
1.326532006263733	1.382995367050171
1.5268975496292114	1.5136277675628662
1.4068896770477295	1.6584097146987915
1.75679612159729	1.7224645614624023
1.6961522102355957	1.5904300212860107
1.539655089378357	1.520623803138733
1.8795164823532104	1.6092233657836914
1.7657790184020996	1.6100571155548096
1.6596137285232544	1.6699159145355225
1.535991907119751	1.42937433719635
1.3234418630599976	1.4461802244186401
1.6620687246322632	1.6503362655639648
1.6734145879745483	1.7424603700637817
1.8515090942382812	1.8031085729599
1.7615357637405396	1.596650242805481
1.464745044708252	1.5849159955978394
1.8484506607055664	1.6673812866210938
1.623712182044983	1.558663010597229
1.58803129196167	1.640568733215332
1.7970038652420044	1.7755470275878906
1.4693025350570679	1.4422074556350708
1.6774944067001343	1.5703216791152954
1.7028281688690186	1.5840781927108765
1.7227139472961426	1.7718948125839233
1.6253750324249268	1.529982328414917
1.5742716789245605	1.4829106330871582
1.5053200721740723	1.5285781621932983
1.8694894313812256	1.8490291833877563
1.5420383214950562	1.4974032640457153
1.4328638315200806	1.4706151485443115
1.9029520750045776	1.7257397174835205
1.8522371053695679	1.7969573736190796
1.7169042825698853	1.6091059446334839
1.6573725938796997	1.5919604301452637
1.499451994895935	1.7309465408325195
1.8313488960266113	1.6043621301651
1.2971420288085938	1.2719558477401733
1.4022513628005981	1.3404463529586792
1.6001992225646973	1.5157005786895752
1.458457589149475	1.5157554149627686
1.75679612159729	1.7435657978057861
1.9178186655044556	1.8869318962097168
1.8529536724090576	1.6014103889465332
1.5653913021087646	1.4908782243728638
1.6786115169525146	1.6533994674682617
1.4637762308120728	1.4812637567520142
1.4625283479690552	1.4766632318496704
1.5293680429458618	1.5293023586273193
1.80317223072052	1.611946940422058
1.3431754112243652	1.536899447441101
1.779235601425171	1.5869630575180054
1.8518834114074707	1.6268445253372192
1.5000256299972534	1.5938607454299927
1.4078688621520996	1.5761170387268066
1.6035830974578857	1.7207717895507812
1.6443334817886353	1.6093281507492065
1.8191030025482178	1.7502784729003906
1.6264606714248657	1.6411492824554443
1.6920498609542847	1.674801230430603
1.6196300983428955	1.5870534181594849
1.5610803365707397	1.5447242259979248
1.7353203296661377	1.5860300064086914
1.6344032287597656	1.628819465637207
1.4091277122497559	1.3181557655334473
1.7912137508392334	1.6007874011993408
1.5179872512817383	1.5432593822479248
1.2551177740097046	1.289954662322998
1.594451904296875	1.5884006023406982
1.59650719165802	1.6127827167510986
1.6794137954711914	1.6523988246917725
1.8279746770858765	1.7995905876159668
1.5767170190811157	1.587732195854187
1.8575572967529297	1.845685362815857
1.588568091392517	1.6015924215316772
1.5809996128082275	1.5813319683074951
1.773644208908081	1.6349753141403198
1.407857060432434	1.466895580291748
1.517107605934143	1.719228744506836
1.5336105823516846	1.4602910280227661
1.574770450592041	1.5887858867645264
1.5058475732803345	1.4910056591033936
1.610572099685669	1.6258596181869507
1.7678351402282715	1.7887053489685059
1.7786389589309692	1.5423146486282349
1.4589465856552124	1.4896998405456543
1.4438157081604004	1.5763232707977295
1.7769228219985962	1.6896945238113403
1.713104248046875	1.590549111366272
1.5989165306091309	1.6225357055664062
1.646315336227417	1.6014024019241333
1.4654383659362793	1.4616059064865112
1.4068646430969238	1.5880473852157593
1.6861600875854492	1.7290560007095337
